iter	Passed	Remaining
958	6148	262
959	6155	256
960	6166	250
961	6179	244
962	6197	238
963	6205	231
964	6214	225
965	6216	218
966	6220	212
967	6223	205
968	6226	199
969	6229	192
970	6232	186
971	6235	179
972	6239	173
973	6242	166
974	6245	160
975	6249	153
976	6252	147
977	6255	140
978	6258	134
979	6261	127
980	6264	121
981	6267	114
982	6269	108
983	6271	101
984	6275	95
985	6278	89
986	6280	82
987	6283	76
988	6285	69
989	6287	63
990	6290	57
991	6293	50
992	6296	44
993	6300	38
994	6303	31
995	6305	25
996	6307	18
997	6310	12
998	6312	6
999	6314	0
0
